step6_state_key,title_key,decl_path
s1_1_1,s1_1,"step6_items[""s1_1""][""requirements""][""1""]"
s2_2_2a,s2_2,"step6_items[""s2_2""][""subitems""][""2a""]"
s2_2_2b,s2_2,"step6_items[""s2_2""][""subitems""][""2b""]"
s2_2_2c,s2_2,"step6_items[""s2_2""][""subitems""][""2c""]"
s2_2_1,s2_2,"step6_items[""s2_2""][""requirements""][""1""]"
s2_2_2,s2_2,"step6_items[""s2_2""][""requirements""][""2""]"
s2_2_3,s2_2,"step6_items[""s2_2""][""requirements""][""3""]"
s2_2_4,s2_2,"step6_items[""s2_2""][""requirements""][""4""]"
s2_2_5,s2_2,"step6_items[""s2_2""][""requirements""][""5""]"
s2_2_6,s2_2,"step6_items[""s2_2""][""requirements""][""6""]"
s2_2_7,s2_2,"step6_items[""s2_2""][""requirements""][""7""]"
s2_2_8,s2_2,"step6_items[""s2_2""][""requirements""][""8""]"
s2_2_9,s2_2,"step6_items[""s2_2""][""requirements""][""9""]"
s2_2_10,s2_2,"step6_items[""s2_2""][""requirements""][""10""]"
s2_3_1,s2_3,"step6_items[""s2_3""][""requirements""][""1""]"
s2_3_2,s2_3,"step6_items[""s2_3""][""requirements""][""2""]"
s2_3_3,s2_3,"step6_items[""s2_3""][""requirements""][""3""]"
s2_3_4,s2_3,"step6_items[""s2_3""][""requirements""][""4""]"
s2_3_5,s2_3,"step6_items[""s2_3""][""requirements""][""5""]"
s2_3_6,s2_3,"step6_items[""s2_3""][""requirements""][""6""]"
s2_3_7,s2_3,"step6_items[""s2_3""][""requirements""][""7""]"
s2_3_8,s2_3,"step6_items[""s2_3""][""requirements""][""8""]"
s2_3_9,s2_3,"step6_items[""s2_3""][""requirements""][""9""]"
s2_4_4a,s2_4,"step6_items[""s2_4""][""subitems""][""4a""]"
s2_4_4b,s2_4,"step6_items[""s2_4""][""subitems""][""4b""]"
s2_4_4c,s2_4,"step6_items[""s2_4""][""subitems""][""4c""]"
s2_4_4d,s2_4,"step6_items[""s2_4""][""subitems""][""4d""]"
s2_4_4e,s2_4,"step6_items[""s2_4""][""subitems""][""4e""]"
s2_4_1,s2_4,"step6_items[""s2_4""][""requirements""][""1""]"
s2_4_2,s2_4,"step6_items[""s2_4""][""requirements""][""2""]"
s2_4_3,s2_4,"step6_items[""s2_4""][""requirements""][""3""]"
s2_4_4,s2_4,"step6_items[""s2_4""][""requirements""][""4""]"
s2_4_5,s2_4,"step6_items[""s2_4""][""requirements""][""5""]"
s2_5_5a,s2_5,"step6_items[""s2_5""][""subitems""][""5a""]"
s2_5_5b,s2_5,"step6_items[""s2_5""][""subitems""][""5b""]"
s2_5_5c,s2_5,"step6_items[""s2_5""][""subitems""][""5c""]"
s2_5_1,s2_5,"step6_items[""s2_5""][""requirements""][""1""]"
s2_5_2,s2_5,"step6_items[""s2_5""][""requirements""][""2""]"
s2_5_3,s2_5,"step6_items[""s2_5""][""requirements""][""3""]"
s2_6_6a,s2_6,"step6_items[""s2_6""][""subitems""][""6a""]"
s2_6_6b,s2_6,"step6_items[""s2_6""][""subitems""][""6b""]"
s2_6_6c,s2_6,"step6_items[""s2_6""][""subitems""][""6c""]"
s2_6_6d,s2_6,"step6_items[""s2_6""][""subitems""][""6d""]"
s2_6_6e,s2_6,"step6_items[""s2_6""][""subitems""][""6e""]"
s2_6_6f,s2_6,"step6_items[""s2_6""][""subitems""][""6f""]"
s2_6_6g,s2_6,"step6_items[""s2_6""][""subitems""][""6g""]"
s2_6_1,s2_6,"step6_items[""s2_6""][""requirements""][""1""]"
s2_6_2,s2_6,"step6_items[""s2_6""][""requirements""][""2""]"
s2_6_3,s2_6,"step6_items[""s2_6""][""requirements""][""3""]"
s2_6_4,s2_6,"step6_items[""s2_6""][""requirements""][""4""]"
s2_6_5,s2_6,"step6_items[""s2_6""][""requirements""][""5""]"
s2_6_6,s2_6,"step6_items[""s2_6""][""requirements""][""6""]"
s2_6_7,s2_6,"step6_items[""s2_6""][""requirements""][""7""]"
s2_6_8,s2_6,"step6_items[""s2_6""][""requirements""][""8""]"
s2_6_9,s2_6,"step6_items[""s2_6""][""requirements""][""9""]"
p1_7_7a,p1_7,"step6_items[""p1_7""][""subitems""][""7a""]"
p1_7_7b,p1_7,"step6_items[""p1_7""][""subitems""][""7b""]"
p1_7_7c,p1_7,"step6_items[""p1_7""][""subitems""][""7c""]"
p1_7_1,p1_7,"step6_items[""p1_7""][""requirements""][""1""]"
p1_7_2,p1_7,"step6_items[""p1_7""][""requirements""][""2""]"
p1_7_3,p1_7,"step6_items[""p1_7""][""requirements""][""3""]"
p1_7_4,p1_7,"step6_items[""p1_7""][""requirements""][""4""]"
p1_7_5,p1_7,"step6_items[""p1_7""][""requirements""][""5""]"
p1_9_1,p1_9,"step6_items[""p1_9""][""requirements""][""1""]"
p1_9_2,p1_9,"step6_items[""p1_9""][""requirements""][""2""]"
p1_9_3,p1_9,"step6_items[""p1_9""][""requirements""][""3""]"
p1_9_4,p1_9,"step6_items[""p1_9""][""requirements""][""4""]"
p1_9_5,p1_9,"step6_items[""p1_9""][""requirements""][""5""]"
p1_9_6,p1_9,"step6_items[""p1_9""][""requirements""][""6""]"
p1_9_7,p1_9,"step6_items[""p1_9""][""requirements""][""7""]"
p1_9_8,p1_9,"step6_items[""p1_9""][""requirements""][""8""]"
p1_9_9,p1_9,"step6_items[""p1_9""][""requirements""][""9""]"
p1_10_10a,p1_10,"step6_items[""p1_10""][""subitems""][""10a""]"
p1_10_10b,p1_10,"step6_items[""p1_10""][""subitems""][""10b""]"
p1_10_10c,p1_10,"step6_items[""p1_10""][""subitems""][""10c""]"
p1_10_1,p1_10,"step6_items[""p1_10""][""requirements""][""1""]"
p1_10_2,p1_10,"step6_items[""p1_10""][""requirements""][""2""]"
p1_10_3,p1_10,"step6_items[""p1_10""][""requirements""][""3""]"
p1_10_4,p1_10,"step6_items[""p1_10""][""requirements""][""4""]"
p1_10_5,p1_10,"step6_items[""p1_10""][""requirements""][""5""]"
p1_10_6,p1_10,"step6_items[""p1_10""][""requirements""][""6""]"
p1_10_7,p1_10,"step6_items[""p1_10""][""requirements""][""7""]"
p1_10_8,p1_10,"step6_items[""p1_10""][""requirements""][""8""]"
p1_10_9,p1_10,"step6_items[""p1_10""][""requirements""][""9""]"
p3_11_11a,p3_11,"step6_items[""p3_11""][""subitems""][""11a""]"
p3_11_11b,p3_11,"step6_items[""p3_11""][""subitems""][""11b""]"
p3_11_1,p3_11,"step6_items[""p3_11""][""requirements""][""1""]"
p3_11_2,p3_11,"step6_items[""p3_11""][""requirements""][""2""]"
p3_11_3,p3_11,"step6_items[""p3_11""][""requirements""][""3""]"
p3_12_12a,p3_12,"step6_items[""p3_12""][""subitems""][""12a""]"
p3_12_12b1,p3_12,"step6_items[""p3_12""][""subitems""][""12b1""]"
p3_12_12b2,p3_12,"step6_items[""p3_12""][""subitems""][""12b2""]"
p3_12_12c1,p3_12,"step6_items[""p3_12""][""subitems""][""12c1""]"
p3_12_12c2,p3_12,"step6_items[""p3_12""][""subitems""][""12c2""]"
p3_12_1,p3_12,"step6_items[""p3_12""][""requirements""][""1""]"
p3_12_2,p3_12,"step6_items[""p3_12""][""requirements""][""2""]"
p3_12_3,p3_12,"step6_items[""p3_12""][""requirements""][""3""]"
p3_12_4,p3_12,"step6_items[""p3_12""][""requirements""][""4""]"
p3_12_5,p3_12,"step6_items[""p3_12""][""requirements""][""5""]"
p3_13_13a,p3_13,"step6_items[""p3_13""][""subitems""][""13a""]"
p3_13_13b,p3_13,"step6_items[""p3_13""][""subitems""][""13b""]"
p3_13_13c,p3_13,"step6_items[""p3_13""][""subitems""][""13c""]"
p3_13_1,p3_13,"step6_items[""p3_13""][""requirements""][""1""]"
p3_13_2,p3_13,"step6_items[""p3_13""][""requirements""][""2""]"
p3_13_3,p3_13,"step6_items[""p3_13""][""requirements""][""3""]"
p3_13_4,p3_13,"step6_items[""p3_13""][""requirements""][""4""]"
